target,model,split,seed,rmse,mae,nse,pi,rmse_monsoon,n,n_monsoon,feature_set,description,n_features,ridge_alpha,lgbm_best_iteration
Bhagyakul,ridge,test,,0.045396641399298825,0.0341034518753031,0.9990819614351458,0.7833550293340713,0.0426080489790559,1096,369,C,A + upstream WL and WLD-1..7 (brief layout),95.0,0.01,
Bhagyakul,lightgbm,val,,0.06486431998653297,0.048617082613454696,0.9977679351277811,0.5498954199610464,0.07407270171427427,328,86,C,A + upstream WL and WLD-1..7 (brief layout),95.0,,553.0
Bhagyakul,lightgbm,test,,0.07533721262362297,0.05494585351988781,0.997471676890747,0.40334915459119813,0.06041792972224519,1096,369,C,A + upstream WL and WLD-1..7 (brief layout),95.0,,553.0
Bhagyakul,ridge,val,,0.04321253096612345,0.033142905551645355,0.999009363144697,0.8002342175279183,0.04961180284795063,328,86,D,C + own Rainfall_Level,96.0,0.01,
Bhagyakul,ridge,test,,0.0453981336560538,0.034136380436249746,0.9990819010795018,0.7833407861995813,0.04261734112572677,1096,369,D,C + own Rainfall_Level,96.0,0.01,
Bhagyakul,lightgbm,val,,0.06565746939194538,0.049847186628041724,0.9977130148031284,0.5388205224654299,0.07218190274891707,328,86,D,C + own Rainfall_Level,96.0,,962.0
Bhagyakul,lightgbm,test,,0.0755333492442011,0.055060058876956953,0.9974584950313674,0.4002384099580929,0.059495924602741425,1096,369,D,C + own Rainfall_Level,96.0,,962.0
Bhagyakul,ridge,val,,0.05502598429893144,0.0400194674965519,0.9983936850048577,0.67608032127667,0.07284331905861907,328,86,E,C without same-day upstream WL (1-day-ahead),84.0,0.1,
Bhagyakul,ridge,test,,0.06481344660282871,0.04372409935897481,0.9981286987321489,0.5583976275058653,0.057668678321874105,1096,369,E,C without same-day upstream WL (1-day-ahead),84.0,0.1,
Bhagyakul,lightgbm,val,,0.07054712002384406,0.05306016065802889,0.9973596977131546,0.46757275436397894,0.07725763845713828,328,86,E,C without same-day upstream WL (1-day-ahead),84.0,,292.0
Bhagyakul,lightgbm,test,,0.07953619333555913,0.05874492297793883,0.9971819864212487,0.3349860316578738,0.0675602220528799,1096,369,E,C without same-day upstream WL (1-day-ahead),84.0,,292.0
Bhagyakul,ridge,val,,0.03562374081120246,0.02733670841148154,0.9993267534781817,0.8642372151735603,0.03853013003041056,328,86,F,C + boundary WL and WLD-1..7 (full release layout),111.0,0.1,
Bhagyakul,ridge,test,,0.037772946297019695,0.028114071307501078,0.9993644127144204,0.850009799030726,0.03443551697240736,1096,369,F,C + boundary WL and WLD-1..7 (full release layout),111.0,0.1,
Bhagyakul,lightgbm,val,,0.062486602232581824,0.04642740880543841,0.9979285765234289,0.5822893834272957,0.06810723532773885,328,86,F,C + boundary WL and WLD-1..7 (full release layout),111.0,,664.0
Bhagyakul,lightgbm,test,,0.061547886198613865,0.04419386601413771,0.9983125156153645,0.6017759830528875,0.051053344908929967,1096,369,F,C + boundary WL and WLD-1..7 (full release layout),111.0,,664.0
Bhagyakul,ridge,val,,0.05901861147604381,0.042222244858638014,0.9981521230460717,0.627368410898973,0.07534818164397138,328,86,G,F without same-day upstream and boundary WL (1-day-ahead),98.0,0.1,
Bhagyakul,ridge,test,,0.0651237841069856,0.044442692470486454,0.9981107356296435,0.5541585726727019,0.058036066140635924,1096,369,G,F without same-day upstream and boundary WL (1-day-ahead),98.0,0.1,
Bhagyakul,lightgbm,val,,0.07769545548756801,0.05929869141898143,0.9967975208722782,0.35420760354795267,0.08266399974075953,328,86,G,F without same-day upstream and boundary WL (1-day-ahead),98.0,,245.0
Bhagyakul,lightgbm,test,,0.08173337483281169,0.0612110320251769,0.9970241410559054,0.2977366111501524,0.0702279582659143,1096,369,G,F without same-day upstream and boundary WL (1-day-ahead),98.0,,245.0
Sureswar,persistence,val,none,0.09040727630979765,0.07234756097560976,0.9912695511979152,0.0,0.10082796769630659,328,86,,,,,
Sureswar,persistence,test,none,0.10527712030077346,0.07830882352941176,0.9902153115733325,0.0,0.09076010203764459,1088,361,,,,,
